Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2006-01-31,1278.73,22.406666666667,70.776666666667,198.3,4.42,1646.1085486384,28.84409183056,91.110770877458,26.468702626686
2005-12-31,1262.07,22.22,69.83,196.8,4.47,1637.0452337652,28.821812652439,90.577280716463,26.443803114292
2005-11-30,1237.37,21.97,68.71,197.6,4.54,1598.5085827682,28.382160197368,88.763688081984,25.931783309069
2005-10-31,1191.96,21.72,67.59,199.2,4.46,1527.4769936747,27.833820180723,86.615465286145,24.876538723648
2005-09-30,1225.92,21.47,66.47,198.8,4.2,1574.1571291751,27.568808375252,85.351592580483,25.730122990164
2005-08-31,1224.27,21.29,65.4,196.4,4.26,1591.2486726324,27.671742540733,85.003849796334,26.104381410936
2005-07-31,1222.24,21.11,64.33,195.4,4.18,1596.7402157625,27.578205552712,84.041021468782,26.287871091255
2005-06-30,1202.25,20.93,63.26,194.5,4.0,1577.8928579692,27.469575809769,83.025578868895,26.068394871884
2005-05-31,1178.28,20.696666666667,62.246666666667,194.4,4.14,1547.228925,27.177310416667,81.737654166667,25.650230187183
2005-04-30,1164.43,20.463333333333,61.233333333333,194.6,4.34,1527.4706718654,26.843298021583,80.324382579651,25.408922569114
2005-03-31,1194.9,20.23,60.22,193.3,4.5,1577.9819728401,26.715687765132,79.526382462494,26.339142131058
2005-02-28,1199.63,19.966666666667,59.663333333333,191.8,4.17,1596.61808939,26.57414468196,79.407448357664,26.744863128101
2005-01-31,1181.41,19.703333333333,59.106666666667,190.7,4.22,1581.4383996592,26.374931594127,79.120332773991,26.58725069797
2004-12-31,1199.21,19.44,58.55,190.3,4.23,1608.6397031792,26.077130635838,78.539917630058,27.144808694741
2004-11-30,1168.94,19.346666666667,58.29,191.0,4.19,1562.28831,25.85682,77.904585,26.465310814818
2004-10-31,1117.21,19.253333333333,58.03,190.9,4.1,1493.9333290466,25.745559350445,77.597722079623,25.411655665489
2004-09-30,1117.66,19.16,57.77,189.9,4.13,1502.4051853081,25.755671090047,77.656843364929,25.668406776358
2004-08-31,1088.94,18.973333333333,57.23,189.5,4.28,1466.8883757784,25.558581846966,77.093340079156,25.174462226478
2004-07-31,1105.85,18.786666666667,56.69,189.4,4.5,1490.4540035639,25.320488806758,76.406237249208,25.695888646269
2004-06-30,1132.76,18.6,56.15,189.7,4.73,1524.3086153927,25.029256193991,75.558749209278,26.401285366475
2004-05-31,1102.78,18.406666666667,54.766666666667,189.1,4.72,1488.6742716552,24.847685933369,73.931090163934,25.902814292944
2004-04-30,1133.36,18.213333333333,53.383333333333,188.0,4.35,1538.9069534043,24.730558085106,72.485338164894,26.900577508445
2004-03-31,1123.98,18.02,52.0,187.4,3.83,1531.0568867129,24.546384364995,70.833073639274,26.886530384036
2004-02-29,1143.36,17.81,50.913333333333,186.2,4.08,1567.4931377014,24.416677846402,69.79980112782,27.65086203674
2004-01-31,1132.52,17.6,49.826666666667,185.2,4.15,1561.0155463283,24.259062634989,68.678876565875,27.658540355737
2003-12-31,1080.64,17.39,48.74,184.3,4.27,1496.7802157352,24.086659712425,67.50913136191,26.635170511082
2003-11-30,1049.9,17.123333333333,45.353333333333,184.5,4.3,1452.6262756098,23.691593414634,62.750208292683,25.94679821842
2003-10-31,1038.73,16.856666666667,41.966666666667,185.0,4.29,1433.2873794324,23.259603162162,57.907534864865,25.68275607058
2003-09-30,1019.44,16.59,38.58,185.2,4.27,1405.1510688985,22.86692324514,53.176967980562,25.243686752606
2003-08-31,989.53,16.45,37.236666666667,184.6,4.45,1368.3575698537,22.747649918743,51.492198022752,24.642251409932
2003-07-31,992.54,16.31,35.893333333333,183.9,3.98,1377.7442882545,22.639903017945,49.823518433931,24.867329101269
2003-06-30,988.0,16.17,34.55,183.7,3.33,1372.9354491018,22.470006287425,48.01105239521,24.832223259531
2003-05-31,935.96,16.186666666667,33.14,183.5,3.57,1302.0376737875,22.517682179837,46.101893787466,23.591080453481
2003-04-30,890.03,16.203333333333,31.73,183.8,3.96,1236.1223783732,22.504076196953,44.068360690968,22.427939577731
2003-03-31,846.63,16.22,30.32,184.2,3.81,1173.2926712541,22.478304723127,42.018631270358,21.309719026991
2003-02-28,837.03,16.17,29.41,183.1,3.9,1166.9574202348,22.543638203168,41.002374740579,21.214102123415
2003-01-31,895.84,16.12,28.5,181.7,4.05,1258.5713844799,22.64709179967,40.039833516786,22.898348576613
2002-12-31,899.18,16.07,27.59,180.9,4.03,1268.8503447761,22.67668880597,38.932784328358,23.101442537686
2002-11-30,909.93,15.98,28.406666666667,181.3,4.05,1281.1869608108,22.499936955323,39.996759018202,23.348396502725
2002-10-31,854.63,15.89,29.223333333333,181.3,3.94,1203.3242252896,22.373216409266,41.146630639823,21.956233863659
2002-09-30,867.81,15.8,30.04,181.0,3.87,1223.9069636188,22.283368508287,42.366606961326,22.365036801224
2002-08-31,912.55,15.88,28.94,180.7,4.26,1289.1422652186,22.433378085224,40.882995074709,23.588713528842
2002-07-31,903.59,15.96,27.84,180.1,4.65,1280.737227568,22.621505496946,39.460069739034,23.463120467431
2002-06-30,1014.02,16.04,26.74,179.9,4.93,1438.8571785992,22.760171539744,37.943078988327,26.387672541183
2002-05-31,1079.25,15.936666666667,26.06,179.8,5.16,1532.2678886263,22.626122385984,36.998750222469,28.128107508688
2002-04-30,1111.93,15.833333333333,25.38,179.8,5.21,1578.6654004171,22.479414627364,36.033318520578,29.005883253119
2002-03-31,1153.79,15.73,24.7,178.8,5.28,1647.2578522651,22.457610151007,35.264015939597,30.292130640919
2002-02-28,1100.67,15.733333333333,24.696666666667,177.8,4.91,1580.2569285996,22.58870416198,35.457565494938,29.085704152008
2002-01-31,1140.21,15.736666666667,24.693333333333,177.1,5.04,1643.4958611801,22.682792236025,35.59290931677,30.277204433096
2001-12-31,1144.93,15.74,24.69,176.7,5.09,1654.035079202,22.738955348048,35.668666298812,30.49995325502
2001-11-30,1129.68,15.74,25.896666666667,177.4,4.65,1625.5643073281,22.649230045096,37.264266882751,30.005103811057
2001-10-31,1076.59,15.74,27.103333333333,177.7,4.57,1546.5545536579,22.610992740574,38.934769583568,28.57737311336
2001-09-30,1044.64,15.74,28.31,178.3,4.73,1495.6075140774,22.534904150308,40.531330145822,27.667392586862
2001-08-31,1178.5,15.723333333333,31.136666666667,177.5,4.97,1694.8589450704,22.612500760563,44.779175239437,31.40431876078
2001-07-31,1204.45,15.706666666667,33.963333333333,177.5,5.24,1732.1789192958,22.588531605634,48.844343915493,32.163038687444
2001-06-30,1238.71,15.69,36.79,178.0,5.28,1776.4458413764,22.501178848315,52.760890365169,33.068534411113
2001-05-31,1270.37,15.783333333333,39.673333333333,177.7,5.39,1824.9254668261,22.673242402926,56.991960101294,34.07464321714
2001-04-30,1189.84,15.876666666667,42.556666666667,176.9,5.14,1716.9714050876,22.91046079706,61.410424731487,32.173901168361
2001-03-31,1185.85,15.97,45.44,176.2,4.89,1718.0119652384,23.136696112372,65.831651305335,32.325837236179
2001-02-28,1305.75,16.07,46.96,175.8,5.1,1896.0225319966,23.33454496587,68.188564505119,35.834662651431
2001-01-31,1335.63,16.17,48.48,175.1,5.16,1947.1631841519,23.573615962307,70.677112050257,36.97886799703
2000-12-31,1330.93,16.27,50.0,174.0,5.24,1952.5775718103,23.869352327586,73.353879310345,37.274238004497
2000-11-30,1378.04,16.296666666667,51.233333333333,174.1,5.72,2020.5303725445,23.89474178633,75.120102527283,38.782142456785
2000-10-31,1390.14,16.323333333333,52.466666666667,174.0,5.74,2039.4432356897,23.947596465517,76.972670689655,39.369699044201
2000-09-30,1468.05,16.35,53.7,173.7,5.8,2157.4630142487,24.028146373057,78.918132124352,41.898007924885
2000-08-31,1485.46,16.466666666667,53.106666666667,172.8,5.83,2194.4189953125,24.325640625,78.452653125,42.869565494419
2000-07-31,1473.0,16.583333333333,52.513333333333,172.8,6.05,2176.012265625,24.49798828125,77.5761421875,42.75809361827
2000-06-30,1461.96,16.7,51.92,172.4,6.1,2164.7141655452,24.727575696056,76.87758863109,42.781971567071
2000-05-31,1418.48,16.72,51.596666666667,171.5,6.44,2111.3557861224,24.887110670554,76.799757988338,41.966050503324
2000-04-30,1461.36,16.74,51.273333333333,171.3,5.99,2177.7207194396,24.94597145359,76.407593169877,43.528574288508
2000-03-31,1442.21,16.76,50.95,171.2,6.26,2150.4387267231,24.990364135514,75.970110543224,43.220748439966
